Feature,Importance
recoveries,0.77210647
collection_recovery_fee,0.097545296
last_fico_range_high,0.056805197
term,0.013463657
last_pymnt_amnt,0.013404788
loan_amnt,0.009429096
out_prncp,0.004815842
total_rec_prncp,0.0044365497
installment,0.003188005
funded_amnt_inv,0.0028668034
debt_settlement_flag,0.0026497478
total_pymnt,0.0016879236
total_pymnt_inv,0.0016252941
hardship_flag,0.0012869841
out_prncp_inv,0.0011385311
total_rec_late_fee,0.0010762273
emp_length,0.001001438
pub_rec_bankruptcies,0.0006143298
num_bc_tl,0.00043671255
fico_range_low,0.00041992182
bc_open_to_buy,0.00036834113
sub_grade,0.0003460303
total_rec_int,0.000334491
num_accts_ever_120_pd,0.00033238955
grade,0.0003064024
inq_last_6mths,0.00029185534
total_acc,0.00026582638
int_rate,0.0002585062
mths_since_recent_inq,0.00024012348
dti,0.00023490957
mths_since_last_delinq,0.00022719929
num_rev_accts,0.00022686111
pct_tl_nvr_dlq,0.00022119343
total_il_high_credit_limit,0.00022086392
revol_util,0.00021884486
num_tl_op_past_12m,0.00021117978
mo_sin_rcnt_tl,0.00020656505
home_ownership,0.00020538212
mo_sin_rcnt_rev_tl_op,0.00020507064
mths_since_recent_bc,0.00019544642
annual_inc,0.000195301
tot_cur_bal,0.00019396274
percent_bc_gt_75,0.00019145312
mo_sin_old_il_acct,0.00019015587
emp_title,0.0001891772
total_rev_hi_lim,0.00018908067
num_actv_rev_tl,0.00018499822
tot_coll_amt,0.00018371514
mo_sin_old_rev_tl_op,0.0001828859
avg_cur_bal,0.00018002425
total_bc_limit,0.00017661043
num_actv_bc_tl,0.0001764957
tot_hi_cred_lim,0.00017351666
num_sats,0.00016896932
acc_open_past_24mths,0.00016572615
purpose,0.00016410115
num_bc_sats,0.00016370857
total_bal_ex_mort,0.00016121882
revol_bal,0.00016068654
num_rev_tl_bal_gt_0,0.00015803703
bc_util,0.0001558997
num_il_tl,0.00015125713
open_acc,0.00014192885
delinq_2yrs,0.00013725387
num_op_rev_tl,0.00013649979
initial_list_status,0.00012915432
mort_acc,0.00012373032
collections_12_mths_ex_med,8.6890286e-05
num_tl_90g_dpd_24m,7.6278164e-05
tax_liens,6.950609e-05
pub_rec,6.919538e-05
verification_status,5.6360182e-05
fico_range_high,0.0
pymnt_plan,0.0
funded_amnt,0.0
policy_code,0.0
delinq_amnt,0.0
chargeoff_within_12_mths,0.0
application_type,0.0
acc_now_delinq,0.0
last_fico_range_low,0.0
num_tl_30dpd,0.0
num_tl_120dpd_2m,0.0
disbursement_method,0.0
